id;rule_group_name;critical;type
1;Function-based Personal Loan Account;false;index Tools
2;HDD;true;Credit Card Account
3;platforms Avon Optimized;true;Tajikistan mobile Utah
4;payment maximize whiteboard;true;Intelligent Fresh Keyboard New Leu Computers
5;quantifying Pennsylvania Forward;true;primary
6;extensible grow software;true;Branding Summit
7;local optical monitor;false;Car Functionality
8;ADP hard drive Frozen;false;Home Loan Account
9;Savings Account;false;copy deposit Auto Loan Account
10;real-time value-added invoice;false;Gourde US Dollar payment
