id;rule_name;critical;use_in_report;use_in_microservice;modify_date
1;expedite Checking Account Handmade;false;false;true;2020-02-18T05:00:48
2;Wisconsin;true;false;true;2020-02-17T20:09:40
3;circuit capacitor;true;false;true;2020-02-18T07:50:16
4;Operations Metal;false;false;true;2020-02-18T08:56:54
5;Madagascar compressing Club;false;true;false;2020-02-18T03:29:53
6;Plastic Cliffs Cheese;false;false;false;2020-02-17T15:50:41
7;Bacon;false;false;true;2020-02-17T16:13:12
8;Alaska;true;false;false;2020-02-18T05:23:10
9;Small;true;false;true;2020-02-18T12:14:09
10;Regional transmitter;true;true;false;2020-02-17T15:07:44
